episode,reward,epsilon,steps,final_error,abs_final_error,squared_final_error,transaction_cost,S_T,rolling_reward_100,rolling_abs_error_100,rolling_cost_100
21,-1.2333637724817077,0.9000874278732445,30,-11.105691209833397,11.105691209833397,123.33637724817078,1.260371280701496,114.45941835272751,-1.07302620264152,8.437321916568429,1.0832132538132127
22,-0.21599468208034242,0.8955869907338783,30,4.647522803390451,4.647522803390451,21.599468208034242,0.7869867903523591,88.52521286634357,-1.0340702244341937,8.265058320514884,1.069748414564992
23,-1.3739343350126587,0.8911090557802088,30,-11.721494508008178,11.721494508008178,137.39343350126586,0.8577926458046664,65.41290319524778,-1.048846924894127,8.415338154753725,1.0605329463580213
24,-0.0807081514002468,0.8866535105013078,30,-2.840918010084888,2.840918010084888,8.07081514002468,1.039755188441746,88.70636257657063,-1.008507809331882,8.183070648725856,1.0596672064448431
25,-3.7582143853139023,0.8822202429488013,30,-19.386114580580355,19.386114580580355,375.82143853139024,1.5173764112269033,139.55901289202967,-1.1184960723711628,8.631192406000036,1.0779755746361257
26,-0.14374166065324168,0.8778091417340573,30,3.791327744382457,3.791327744382457,14.374166065324168,1.1512760069072316,103.62635830755596,-1.0810055180743197,8.44504376516859,1.080794822031168
27,-0.5380328201104397,0.8734200960253871,30,-7.335072052205348,7.335072052205348,53.803282011043976,0.9619345453239581,77.61276800126622,-1.0608954181497314,8.403933701725506,1.0763925895605306
28,-0.5900530424349225,0.8690529955452602,30,-7.681491016950567,7.681491016950567,59.00530424349225,1.6279212163371992,112.99390029301662,-1.0440796190170596,8.37813217726926,1.0960900405168403
29,-0.2728520065668177,0.8647077305675338,30,-5.223523777746376,5.223523777746376,27.28520065668177,1.084099072411481,61.40581814853306,-1.0174855634153273,8.269352577285712,1.0956765588580348
30,-0.1645628408282912,0.8603841919146962,30,-4.0566345759544475,4.0566345759544475,16.45628408282912,1.2625711903265149,115.41792585968547,-0.9890548059957595,8.128928643908003,1.1012397132403176
31,-1.323882358132473,0.8560822709551227,30,11.506008682998953,11.506008682998953,132.3882358132473,1.0343023629466845,108.32191554510705,-0.9998556947743631,8.23786670968513,1.0990804438760067
32,-0.7004551480256389,0.851801859600347,30,-8.369319853044445,8.369319853044445,70.04551480256389,1.0146651867916665,86.71718855775306,-0.9904994276884654,8.241974620415109,1.0964424670921211
33,-0.6634876687093251,0.8475428503023453,30,8.145475239108674,8.145475239108674,66.34876687093251,1.5157069887386028,117.95264088547844,-0.9805899804466733,8.239050396739156,1.10914745259656
34,-1.0920402023584226,0.8433051360508336,30,10.450072738303895,10.450072738303895,109.20402023584226,1.0846200930270626,97.38602494588048,-0.9838679281499599,8.304080465608708,1.1084260596680453
